id,question,correct_answer,answer_variant_2,answer_variant_3,game_code
1,What is 6 + 11?,17,1,32,math
2,What is 9 - 3?,6,12,13,math
3,What is 5x + 9 + 2 when x = 1?,16,13,12,math
4,What is 19 - 14?,5,5,4,math
5,What is 7x + 8 + 4 when x = 8?,68,24,9,math
6,What is 10 + 1?,11,20,34,math
7,What is 4 * 3?,12,13,11,math
8,What is x if: 8x + 3 = 11?,1,8,8,math
9,What is 15 + 9?,24,20,23,math
10,What is x if: 1x + 10 = 17?,7,6,1,math
11,What is 45 / 5?,9,4,4,math
12,What is 9 * 4?,36,91,63,math
13,What is 8 - 6?,2,6,17,math
14,What is 15 - 2?,13,7,19,math
15,What is 13 + 13?,26,33,7,math
16,What is 2 - 1?,1,7,17,math
17,What is 7x + 2 + 2 when x = 2?,18,34,38,math
18,What is 3 * 1?,3,75,15,math
19,What is 6 * 8?,48,99,91,math
20,What is 10 / 5?,2,7,6,math
21,What is 10x + 9 + 10 when x = 9?,109,12,22,math
22,What is 32 / 4?,8,3,6,math
23,What is 6x + 3 + 9 when x = 10?,72,36,29,math
24,What is 4x + 4 + 8 when x = 2?,20,33,36,math
25,What is 2 - 2?,0,14,18,math
26,What is 12 - 9?,3,3,11,math
27,What is x if: 3x + 1 = 7?,2,7,1,math
28,What is 20 - 18?,2,10,9,math
29,What is 7x + 5 + 5 when x = 5?,45,31,18,math
30,What is 5 * 1?,5,71,67,math
31,What is 6 * 6?,36,83,34,math
32,What is 1 - 1?,0,14,13,math
33,What is 36 / 4?,9,1,9,math
34,What is 15 + 12?,27,3,32,math
35,What is 17 + 14?,31,30,27,math
36,What is 4 * 5?,20,86,33,math
37,What is 14 / 7?,2,4,6,math
38,What is 18 / 9?,2,6,8,math
39,What is x if: 10x + 2 = 52?,5,5,4,math
40,What is 6x + 4 + 8 when x = 7?,54,6,36,math
41,What is 7 + 12?,19,32,28,math
42,What is 12 + 17?,29,14,16,math
43,What is 9 * 5?,45,31,51,math
44,What is 2 - 2?,0,19,15,math
45,What is 7x + 10 + 8 when x = 2?,32,38,15,math
46,What is 12 + 1?,13,18,8,math
47,What is 6 * 8?,48,14,31,math
48,What is 4x + 9 + 6 when x = 5?,35,18,29,math
49,What is 6 * 10?,60,69,59,math
50,What is x if: 3x + 7 = 25?,6,9,10,math
51,What is 27 / 9?,3,7,8,math
52,What is 11 + 3?,14,3,26,math
53,What is x if: 9x + 4 = 49?,5,8,7,math
54,What is 8x + 3 + 6 when x = 3?,33,19,17,math
55,What is 4 + 16?,20,5,35,math
56,What is 18 / 6?,3,1,10,math
57,What is 3 * 6?,18,90,37,math
58,What is 7 * 9?,63,5,42,math
59,What is 48 / 8?,6,5,6,math
60,What is 20 / 2?,10,9,4,math
61,What is x if: 4x + 4 = 28?,6,3,1,math
62,What is 4x + 5 + 3 when x = 10?,48,14,2,math
63,What is 4x + 3 + 10 when x = 9?,49,30,33,math
64,What is 5 - 2?,3,8,6,math
65,What is 30 / 6?,5,8,9,math
66,What is 28 / 7?,4,3,8,math
67,What is 8 + 20?,28,6,33,math
68,What is 10x + 3 + 8 when x = 3?,41,39,39,math
69,What is 2 * 3?,6,31,47,math
70,What is x if: 6x + 3 = 45?,7,8,8,math
71,What is x if: 10x + 8 = 28?,2,8,3,math
72,What is 4 + 2?,6,25,31,math
73,What is 9 * 9?,81,69,24,math
74,What is x if: 10x + 8 = 58?,5,9,10,math
75,What is 20 / 2?,10,4,4,math
76,What is x if: 3x + 2 = 14?,4,9,1,math
77,What is 54 / 6?,9,6,2,math
78,What is 6x + 9 + 8 when x = 2?,29,12,27,math
79,What is 40 / 4?,10,9,6,math
80,What is 12 / 6?,2,9,4,math
81,What is x if: 5x + 7 = 22?,3,7,9,math
82,What is 3x + 4 + 1 when x = 7?,26,22,10,math
83,What is 9x + 2 + 8 when x = 3?,37,15,16,math
84,What is 7 * 4?,28,19,76,math
